Time,JointType,TrackingState,Position.X,Position.Y,Position.Z,
00:04.3,ElbowRight,Tracked,0.154830024,0.125818312,1.006312847,0.368655343
00:04.3,ElbowLeft,Tracked,-0.211489379,0.131795064,0.957571268,0.369596223
00:04.3,ElbowRight,Tracked,0.154854476,0.123849355,1.010947227,0.370297108
00:04.4,ElbowLeft,Tracked,-0.213563263,0.121475913,0.966479838,0.371099196
00:04.4,ElbowRight,Tracked,0.152666062,0.103771135,1.018809199,0.370372434
00:04.4,ElbowLeft,Tracked,-0.214671582,0.11108011,0.971929848,0.370389038
00:04.4,ElbowRight,Tracked,0.151569963,0.095589988,1.023202777,0.370137442
00:04.4,ElbowLeft,Tracked,-0.215227872,0.090427339,0.977853477,0.369626654
00:04.4,ElbowRight,Tracked,0.151649401,0.088137463,1.029480219,0.370498984
00:04.5,ElbowLeft,Tracked,-0.216481894,0.081221595,0.984582484,0.370923558
00:04.5,ElbowRight,Tracked,0.151481315,0.079865366,1.037348866,0.371729813
00:04.5,ElbowLeft,Tracked,-0.210658655,0.072037533,0.990909994,0.365189268
00:04.5,ElbowRight,Tracked,0.152988404,0.061166435,1.048410773,0.36832554
00:04.5,ElbowLeft,Tracked,-0.208559036,0.06391573,0.998975337,0.364921872
00:04.5,ElbowRight,Tracked,0.15293625,0.057872888,1.054717779,0.365817684
00:04.6,ElbowLeft,Tracked,-0.207580715,0.057319812,1.008100986,0.363518794
00:04.6,ElbowRight,Tracked,0.150401339,0.04313603,1.067017674,0.363075071
00:04.6,ElbowLeft,Tracked,-0.206817254,0.051650245,1.018732786,0.360567671
00:04.6,ElbowRight,Tracked,0.148668826,0.035691783,1.077819943,0.360716395
00:04.6,ElbowLeft,Tracked,-0.206156552,0.044096723,1.03434813,0.35757725
00:04.6,ElbowRight,Tracked,0.149103239,0.026591813,1.096725106,0.361118856
00:04.7,ElbowLeft,Tracked,-0.207769945,0.039071076,1.04545486,0.360753157
00:04.7,ElbowRight,Tracked,0.143237531,0.00232859,1.112550259,0.359246505
00:04.7,ElbowLeft,Tracked,-0.21193704,0.032024756,1.063321948,0.359797533
00:04.7,ElbowRight,Tracked,0.141470686,0.000230864,1.121371627,0.359551995
00:04.7,ElbowLeft,Tracked,-0.213781029,0.029095568,1.079774976,0.358841515
00:04.7,ElbowRight,Tracked,0.13556686,-0.002522171,1.136622906,0.355352383
00:04.8,ElbowLeft,Tracked,-0.228449941,0.024395503,1.104736567,0.36640078
00:04.8,ElbowRight,Tracked,0.131795675,-0.008842825,1.156027675,0.365393579
00:04.8,ElbowLeft,Tracked,-0.232521892,0.023587281,1.120800734,0.367450593
00:04.8,ElbowRight,Tracked,0.132017061,-0.009401628,1.177520871,0.370397206
00:04.8,ElbowLeft,Tracked,-0.235536173,0.019437818,1.144871116,0.37012579
00:04.8,ElbowRight,Tracked,0.129479766,-0.010901858,1.196247101,0.369860276
00:04.9,ElbowLeft,Tracked,-0.237862691,0.018649306,1.160995364,0.370211341
00:04.9,ElbowRight,Tracked,0.128699958,-0.011379017,1.211519957,0.371244678
00:04.9,ElbowLeft,Tracked,-0.241523981,0.015041927,1.178129196,0.372664426
00:04.9,ElbowRight,Tracked,0.127257288,-0.01316087,1.227739692,0.373170501
00:04.9,ElbowLeft,Tracked,-0.242212743,0.008632938,1.192072988,0.371826824
00:04.9,ElbowRight,Tracked,0.12646693,-0.013871713,1.244349837,0.373046953
00:05.0,ElbowLeft,Tracked,-0.246905774,-0.002362394,1.220335603,0.374321151
00:05.0,ElbowRight,Tracked,0.126434416,-0.017346099,1.263507843,0.376126642
00:05.0,ElbowLeft,Tracked,-0.248890132,-0.001958342,1.22674942,0.377434074
00:05.0,ElbowRight,Tracked,0.125231132,-0.017966464,1.273810148,0.377409184
00:05.0,ElbowLeft,Tracked,-0.254376709,0.009066792,1.22721386,0.383411169
00:05.0,ElbowRight,Tracked,0.124263369,-0.019042406,1.282942295,0.383750041
00:05.1,ElbowLeft,Tracked,-0.25608477,0.016271062,1.230773091,0.38552999
00:05.1,ElbowRight,Tracked,0.122014679,-0.018526603,1.290538669,0.384372209
00:05.1,ElbowLeft,Tracked,-0.258955836,0.022040248,1.235223174,0.387096896
00:05.1,ElbowRight,Tracked,0.119421035,-0.018941917,1.297008753,0.38557237
00:05.1,ElbowLeft,Tracked,-0.262264132,0.029501472,1.238645434,0.389148565
00:05.1,ElbowRight,Tracked,0.117831722,-0.017625025,1.299951673,0.387881709
00:05.2,ElbowLeft,Tracked,-0.264842898,0.035706364,1.241622567,0.390751054
00:05.2,ElbowRight,Tracked,0.115471415,-0.017205052,1.301977396,0.38869178
00:05.2,ElbowLeft,Tracked,-0.26601404,0.040519029,1.242199898,0.390431263
00:05.2,ElbowRight,Tracked,0.113185473,-0.018000823,1.303489208,0.388552728
00:05.2,ElbowLeft,Tracked,-0.267751008,0.048089344,1.2441324,0.391156929
00:05.2,ElbowRight,Tracked,0.111699462,-0.018080784,1.304406404,0.389864208
00:05.3,ElbowLeft,Tracked,-0.26895541,0.050046876,1.245355248,0.391186079
00:05.3,ElbowRight,Tracked,0.11093916,-0.018170439,1.305465937,0.390623579
00:05.3,ElbowLeft,Tracked,-0.27016294,0.050434016,1.246949553,0.391624245
00:05.3,ElbowRight,Tracked,0.110100552,-0.018119229,1.306153774,0.390902815
00:05.3,ElbowLeft,Tracked,-0.271391094,0.05035843,1.248925686,0.391790914
00:05.3,ElbowRight,Tracked,0.109547138,-0.018422864,1.30768013,0.391531464
00:05.4,ElbowLeft,Tracked,-0.271539688,0.048755325,1.251330972,0.391043867
